REG_CUSER,REG_SNO,AIR_TYPE,AIR_BUILD_DATE,AIR_AGE,REG_DATE,AIR_LIMIT_MAN,AIR_FLY_WEIGHT,REG_JANG,PROC_TYPE,PRJ_GBN
(재)스타항공우주,HL9493,MI-2,1988-09-25,30,2010-12-27,9,3550kg,예천군 감천면,구매,항공기사용사업
(재)스타항공우주,HL9492,MI-2,1987-05-05,32,2010-12-28,9,3550kg,예천군 감천면,구매,항공기사용사업
(재)스타항공우주,HL9494,MI-2,1973-01-01,46,2011-01-05,9,3550kg,예천군 감천면,구매,항공기사용사업
(재)스타항공우주,HL9471,MI-2,1986-09-30,32,2012-04-19,9,3550kg,예천군 감천면,구매,항공기사용사업
(재)스타항공우주,HL9301,BELL206B,1978-07-19,40,2012-10-18,5,1450kg,예천군 감천면,구매,소형항공기운송사업
(재)스타항공우주,HL9303,BELL206L-1,1981-01-01,38,2014-03-17,7,4150lbs,예천군 감천면,구매,소형항공기운송사업
(재)스타항공우주,HL1201,C-182S,1998-01-01,21,2014-05-16,4,1406kg,대구공항,구매,항공기사용사업
(재)스타항공우주,HL8037,C-500,1977-03-29,42,2015-04-27,8,11850lbs,무안공항,구매,소형항공기운송사업
(재)스타항공우주,HL9622,MI-2,1987-04-15,32,2016-01-18,9,3550kg,예천군 감천면,구매,항공기사용사업
(재)스타항공우주,HL9623,MI-2,1988-03-21,31,2016-02-11,9,3550kg,예천군 감천면,구매,항공기사용사업
(재)스타항공우주,HL9699,S-76A,1990-10-31,28,2017-06-07,14,10800lbs,예천군 감천면,구매,소형항공기운송사업
(주)가디언즈 항공,HL1156,C-172S,2003-11-09,15,2012-01-06,4,2550lbs,김포공항,임차,항공기사용사업
(주)가디언즈 항공,HL1163,C-172S,2000-03-06,19,2012-09-24,4,1156.6kg,양양공항,구매,항공기사용사업
(주)가디언즈 항공,HL1185,C-172R,1998-02-03,21,2013-12-17,4,2550lbs,양양공항,구매,항공기사용사업
(주)가디언즈 항공,HL1197,C-172R,1998-08-11,20,2014-06-02,4,1157.7kg,무안공항,구매,항공기사용사업
(주)가디언즈 항공,HL1219,C-172R,2000-02-25,19,2015-01-02,4,1111kg,양양공항,구매,항공기사용사업
(주)가디언즈 항공,HL1257,C-172S,2001-09-10,17,2015-12-04,4,2550lbs,양양국제공항,구매,항공기사용사업
(주)동해기계항공,HL6147,UH-12E,1978-05-25,41,2015-06-05,3,1270kg,공주시 신풍면,구매,자가용
(주)성준항공,HL1117,TB-9,1993-01-19,26,2009-07-23,4,1.06ton,김포공항,구매,항공기사용사업
(주)성준항공,HL6145,R-44Ⅱ,2010-11-11,8,2010-12-20,4,2500lbs,김포공항,구매,항공기사용사업
(주)스펙코어,HL1145,C-172S,2002-11-14,16,2011-05-17,4,1111kg,울산공항,구매,항공기사용사업
(주)스펙코어,HL1193,C-172R,2006-09-01,12,2014-01-07,4,2450lbs,울산공항,구매,항공기사용사업
(주)스펙코어,HL1194,C-172R,2006-08-18,12,2014-01-07,4,2450lbs,울산공항,구매,항공기사용사업
(주)스펙코어,HL2039,PA-34-220T,1998-02-03,21,2014-09-22,5,4750lbs,양양국제공항,구매,항공기사용사업
(주)스펙코어,HL1256,C-172R,1997-06-17,22,2015-10-05,4,1111kg,무안공항,구매,항공기사용사업
(주)스펙코어,HL5240,B300,2014-08-18,4,2017-10-10,5,7484kg,김포공항,구매,항공기사용사업
(주)신한에어,HL1202,C-172S,2008-12-12,10,2014-05-28,4,1111kg,전남 영암군 미암면 ,구매,항공기사용사업
(주)신한에어,HL1203,C-172S,2005-09-09,13,2014-05-28,4,1111kg,전남 영암,구매,항공기사용사업
(주)에어필립,HL6143,R-44Ⅱ,2009-06-25,9,2009-08-06,4,2500lbs,김포공항,구매,소형항공기운송사업
(주)지오스토리,HL5239,E90,1993-07-16,25,2013-09-12,4,10100lbs,김포공항,구매,항공기사용사업
(주)지오스토리,HL5242,C90B,2018-01-19,1,2018-04-24,5,10100lbs,무안공항,구매,항공기사용사업
(주)지오투정보기술,HL1130,T-206H,2003-06-24,16,2010-09-15,6,1.724ton,김포공항,구매,항공기사용사업
(주)티티엠코리아,HL1146,SR20,2003-02-28,16,2013-05-29,4,1361kg,김포공항,구매,항공기사용사업
(주)한국조종사교육원,HL1107,C-172S,1999-01-19,20,2007-07-13,4,1156kg,양양공항,구매,항공기사용사업
(주)한국조종사교육원,HL1110,C-172S,2003-04-22,16,2008-03-17,5,1156kg,양양공항,구매,항공기사용사업
(주)한국조종사교육원,HL1112,C-172S,2004-11-22,14,2008-11-25,4,1160kg,울산공항,구매,항공기사용사업
(주)한국조종사교육원,HL2030,PA44-180,1981-03-21,38,2009-07-23,4,1.72ton,울산공항,구매,항공기사용사업
(주)한국조종사교육원,HL1149,C-172S,2003-01-14,16,2011-11-01,4,1156.6kg,울산공항,구매,항공기사용사업
(주)한국조종사교육원,HL1150,C-172S,2000-07-07,18,2011-12-05,4,1156.6kg,울산공항,구매,항공기사용사업
(주)한국조종사교육원,HL1151,C-172S,2003-08-06,15,2011-12-05,4,1156.6kg,울산공항,구매,항공기사용사업
(주)한국조종사교육원,HL1162,C-172S,2004-10-18,14,2012-09-24,4,1156.6kg,양양공항,구매,항공기사용사업
(주)한국조종사교육원,HL1164,C-172S,2005-01-31,14,2012-12-21,4,2550lbs,양양공항,구매,항공기사용사업
(주)한국조종사교육원,HL1165,C-172S,2003-06-09,16,2012-12-21,4,1156.6kg,양양공항,구매,항공기사용사업
(주)한국조종사교육원,HL1262,C-172S,2004-06-08,15,2016-10-24,4,2550lbs,강원도 양양,구매,항공기사용사업
LG전자,HL9604,S-76D,2013-04-23,6,2014-10-16,8,5386kg,김포공항,구매,자가용
LG전자,HL8299,GVI,2016-06-11,3,2016-12-13,12,46.992ton,김포공항,구매,자가용
LG전자,HL9640,S-76D,2015-03-18,4,2018-08-14,8,5386kg,김포공항,구매,자가용
SK텔레콤,HL8200,GV-SP,2009-02-24,10,2009-09-17,16,41.277ton,김포공항,구매,자가용
SK텔레콤,HL9600,S-76D,2014-07-03,4,2014-08-14,8,5.386ton,김포공항,구매,자가용
SK텔레콤,HL8080,A319-115,2013-10-18,5,2015-04-09,17,11875lbs,김포공항,구매,자가용
강원도,HL9476,AW139,2009-03-04,10,2009-05-26,14,6.4ton,강원도 양양,구매,자가용
강원도,HL9626,AW139,2017-02-10,2,2017-04-26,15,6800kg,춘천시 신북읍,구매,자가용
경기도,HL9455,AS-365N3,2001-09-18,17,2007-11-15,14,4.3ton,경기도 용인시,구매,자가용
경기도,HL9456,KA-32T,2001-02-14,18,2007-11-15,18,11ton,경기도 용인시,구매,자가용
경기도,HL9485,AW139,2010-08-06,8,2010-11-02,17,6.4ton,경기도 용인시,구매,자가용
경상남도,HL9464,AS-365N3,2006-12-14,12,2007-12-05,14,4.3ton,경남합천군용주면용지리,구매,자가용
경상북도,HL9462,KA-32T,1995-06-27,23,2007-11-15,18,11ton,대구K-2 공군기지내,구매,자가용
경상북도,HL9463,AS-365N3,2006-02-17,13,2007-11-15,14,4.3ton,대구K-2 공군기지내,구매,자가용
경운대학교,HL1218,SR20,2001-03-09,18,2015-01-09,4,1361kg,무안공항,구매,자가용
경운대학교,HL1225,SR20,2000-05-08,19,2015-03-10,4,1361kg,무안공항,구매,자가용
경운대학교,HL1234,SR20,2003-05-16,16,2015-06-15,4,1361kg,무안공항,구매,자가용
경운대학교,HL1240,SR20,2001-09-07,17,2015-08-11,4,1361kg,무안공항,구매,자가용
경운대학교,HL1241,SR20,2011-11-20,7,2015-10-29,4,1361kg,무안공항,구매,자가용
경운대학교,HL1274,XL-2,2008-09-03,10,2017-05-24,2,794kg,전남 영암군,구매,자가용
경운대학교,HL1275,XL-2,2008-09-08,10,2017-05-24,2,794kg,전남 영암군,구매,자가용
경운대학교,HL1281,XL-2,2008-06-04,11,2019-04-10,2,794kg,전남 영암,구매,자가용
경운대학교,HL1282,MI-2,2007-08-13,11,2019-04-10,2,794kg,전남 영암,구매,자가용
경운대학교,HL1283,XL-2,2007-07-18,11,2019-04-10,2,794kg,무안공항,구매,자가용
광주광역시,HL9450,BK117B-2,1997-03-21,22,2007-12-05,10,3.35ton,광주공항,구매,자가용
국립공원관리공단,HL9465,KA-32T,1997-04-24,22,2007-12-06,18,11ton,청주국제공항,구매,자가용
국제조종사교육원,HL1180,C-172S,1999-01-02,20,2013-08-08,4,2550lbs,김포공항,구매,항공기사용사업
국제조종사교육원,HL1183,C-172S,2005-02-15,14,2013-11-12,4,2550lbs,김포공항,구매,항공기사용사업
국제조종사교육원,HL1199,C-172S,1999-09-30,19,2014-05-14,4,2550lbs,강원도 양양,구매,항공기사용사업
글로리아교육재단,HL1116,C-172R,1999-06-08,20,2010-06-23,4,1.111ton,울진비행장,구매,자가용
글로리아교육재단,HL1204,C-172S,2007-06-06,12,2014-06-23,4,1.156ton,울진비행장,구매,자가용
글로리아교육재단,HL1205,C-172S,2007-09-27,11,2014-06-23,4,1.156ton,울진비행장,구매,자가용
글로리아교육재단,HL1211,C-172S,2007-03-15,12,2014-09-11,4,1.156ton,울진비행장,구매,자가용
글로리아교육재단,HL1212,C-172S,2006-11-21,12,2014-09-11,4,1.156ton,울진비행장,구매,자가용
글로리아교육재단,HL1213,C-172S,2004-10-27,14,2014-09-30,4,2550lbs,울진비행장,구매,자가용
글로리아교육재단,HL1215,C-172S,2001-12-03,17,2014-09-30,4,2550lbs,울진비행장,구매,자가용
글로리아교육재단,HL1214,C-172S,2002-11-19,16,2014-10-27,4,2550lbs,울진비행장,구매,자가용
글로리아교육재단,HL1216,C-172R,1997-12-03,21,2014-10-27,4,2550lbs,울진비행장,구매,자가용
글로리아교육재단,HL1235,C-172S,2007-04-20,12,2015-06-02,4,2550lbs,울진비행장,구매,자가용
글로리아교육재단,HL1238,C-172S,2007-04-17,12,2015-06-03,4,2550lbs,울진비행장,구매,자가용
글로리아교육재단,HL1236,C-172S,2006-09-29,12,2015-06-29,4,2550lbs,울진비행장,구매,자가용
글로리아교육재단,HL1237,C-172S,2015-06-29,3,2015-06-29,4,2550lbs,울진비행장,구매,자가용
글로리아교육재단,HL2044,PA44-180,2015-08-28,3,2015-10-13,4,3800lbs,울진비행장,구매,자가용
글로리아교육재단,HL1259,C-172S,2007-06-12,12,2016-01-18,4,2550lbs,울진비행장,구매,자가용
글로리아교육재단,HL1260,C-172S,2007-06-14,12,2016-01-18,4,2550lbs,울진비행장,구매,자가용
글로리아교육재단,HL1261,C-172S,2007-06-21,12,2016-01-18,24.6,2550lbs,울진비행장,구매,자가용
글로리아항공,HL9635,S-76A,1987-10-18,31,2017-08-14,13,4898kg,김포산업단지,구매,항공기사용사업
글로리아항공,HL9636,S-76C,1994-03-09,25,2017-08-14,13,5306kg,김포산업단지,구매,항공기사용사업
글로리아항공,HL9637,S-76A,1983-02-21,36,2017-11-08,13,4898kg,김포산업단지,구매,항공기사용사업
글로리아항공,HL9638,S-76A,1989-10-31,29,2017-11-08,13,4898kg,김포산업단지,구매,항공기사용사업
김**(172),HL1155,C-172S,2004-12-07,14,2012-01-06,4,2550lbs,김포공항,임차,자가용
김**(172),HL1158,C-172S,2008-03-24,11,2012-02-27,4,2550lbs,김포공항,임차,자가용
네이버시스템(주),HL5107,C-208,1994-06-23,25,1994-10-08,6,3628kg,김포공항,구매,항공기사용사업
단비에어,HL5123,AT-802,2011-04-26,8,2013-11-18,2,7257kg,울산공항,구매,항공기사용사업
대구광역시,HL9185,AS-350B2,1995-10-29,23,2007-12-05,6,2.25ton,대구공항,구매,자가용
대구광역시,HL9446,KA-32T,2005-11-15,13,2007-12-05,18,11ton,대구공항,구매,자가용
대진항공,HL9173,AS-350B2,1995-06-17,24,2006-04-27,6,2.25ton,김포공항,구매,항공기사용사업
