SEQ,REG_CUSER,REG_SNO,AIR_TYPE,AIR_BUILD_NO,AIR_BUILD_DATE,AIR_AGE,REG_DATE,AIR_LIMIT_MAN,AIR_FLY_WEIGHT,REG_JANG,PROC_TYPE,PRJ_GBN
1,(재)스타항공우주,HL9493,MI-2,5210725098,88.09.25,30,10.12.27,9,3550kg,예천군 감천면,구매,항공기사용사업
2,(재)스타항공우주,HL9492,MI-2,5210126027,87.05.05,32,10.12.28,9,3550kg,예천군 감천면,구매,항공기사용사업
3,(재)스타항공우주,HL9494,MI-2,562817043,73.01.01,46,11.01.05,9,3550kg,예천군 감천면,구매,항공기사용사업
4,(재)스타항공우주,HL9471,MI-2,529936096,86.09.30,32,12.04.19,9,3550kg,예천군 감천면,구매,항공기사용사업
5,(재)스타항공우주,HL9301,BELL206B,8550,78.07.19,40,12.10.18,5,1450kg,예천군 감천면,구매,소형항공기운송사업
6,(재)스타항공우주,HL9303,BELL206L-1,45594,81.01.01,38,14.03.17,7,4150lbs,예천군 감천면,구매,소형항공기운송사업
7,(재)스타항공우주,HL1201,C-182S,18280225,98.01.01,21,14.05.16,4,1406kg,대구공항,구매,항공기사용사업
8,(재)스타항공우주,HL8037,C-500,500-0354,77.03.29,42,15.04.27,8,11850lbs,무안공항,구매,소형항공기운송사업
9,(재)스타항공우주,HL9622,MI-2,5410217047,87.04.15,32,16.01.18,9,3550kg,예천군 감천면,구매,항공기사용사업
10,(재)스타항공우주,HL9623,MI-2,5210539038,88.03.21,31,16.02.11,9,3550kg,예천군 감천면,구매,항공기사용사업
11,(재)스타항공우주,HL9699,S-76A,760295,90.10.31,28,17.06.07,14,10800lbs,예천군 감천면,구매,소형항공기운송사업
1,(주)가디언즈 항공,HL1156,C-172S,172S9537,03.11.09,15,12.01.06,4,2550lbs,김포공항,임차,항공기사용사업
2,(주)가디언즈 항공,HL1163,C-172S,172S8394,00.03.06,19,12.09.24,4,1156.6kg,양양공항,구매,항공기사용사업
3,(주)가디언즈 항공,HL1185,C-172R,17280340,98.02.03,21,13.12.17,4,2550lbs,양양공항,구매,항공기사용사업
4,(주)가디언즈 항공,HL1197,C-172R,17280561,98.08.11,20,14.06.02,4,1157.7kg,무안공항,구매,항공기사용사업
5,(주)가디언즈 항공,HL1219,C-172R,17280865,00.02.25,19,15.01.02,4,1111kg,양양공항,구매,항공기사용사업
6,(주)가디언즈 항공,HL1257,C-172S,172S8939,01.09.10,17,15.12.04,4,2550lbs,양양국제공항,구매,항공기사용사업
1,(주)동해기계항공,HL6147,UH-12E,5046,78.05.25,41,15.06.05,3,1270kg,공주시 신풍면,구매,자가용
1,(주)성준항공,HL1117,TB-9,1545,93.01.19,26,09.07.23,4,1.06ton,김포공항,구매,항공기사용사업
2,(주)성준항공,HL6145,R-44Ⅱ,13012,10.11.11,8,10.12.20,4,2500lbs,김포공항,구매,항공기사용사업
1,(주)스펙코어,HL1145,C-172S,172S9240,02.11.14,16,11.05.17,4,1111kg,울산공항,구매,항공기사용사업
2,(주)스펙코어,HL1193,C-172R,17281179,06.09.01,12,14.01.07,4,2450lbs,울산공항,구매,항공기사용사업
3,(주)스펙코어,HL1194,C-172R,17281180,06.08.18,12,14.01.07,4,2450lbs,울산공항,구매,항공기사용사업
4,(주)스펙코어,HL2039,PA-34-220T,3449045,98.02.03,21,14.09.22,5,4750lbs,양양국제공항,구매,항공기사용사업
5,(주)스펙코어,HL1256,C-172R,17280099,97.06.17,22,15.10.05,4,1111kg,무안공항,구매,항공기사용사업
6,(주)스펙코어,HL5240,B300,FL-946,14.08.18,4,17.10.10,5,7484kg,김포공항,구매,항공기사용사업
1,(주)신한에어,HL1202,C-172S,172S10864,08.12.12,10,14.05.28,4,1111kg,전남 영암군 미암면 ,구매,항공기사용사업
2,(주)신한에어,HL1203,C-172S,172S9936,05.09.09,13,14.05.28,4,1111kg,전남 영암,구매,항공기사용사업
1,(주)에어필립,HL6143,R-44Ⅱ,12850,09.06.25,9,09.08.06,4,2500lbs,김포공항,구매,소형항공기운송사업
1,(주)지오스토리,HL5239,E90,LW-58,93.07.16,25,13.09.12,4,10100lbs,김포공항,구매,항공기사용사업
2,(주)지오스토리,HL5242,C90B,LJ-1586,18.01.19,1,18.04.24,5,10100lbs,무안공항,구매,항공기사용사업
1,(주)지오투정보기술,HL1130,T-206H,T20608393,03.06.24,16,10.09.15,6,1.724ton,김포공항,구매,항공기사용사업
1,(주)티티엠코리아,HL1146,SR20,1300,03.02.28,16,13.05.29,4,1361kg,김포공항,구매,항공기사용사업
1,(주)한국조종사교육원,HL1107,C-172S,172S8083,99.01.19,20,07.07.13,4,1156kg,양양공항,구매,항공기사용사업
2,(주)한국조종사교육원,HL1110,C-172S,172S9371,03.04.22,16,08.03.17,5,1156kg,양양공항,구매,항공기사용사업
3,(주)한국조종사교육원,HL1112,C-172S,172S9729,04.11.22,14,08.11.25,4,1160kg,울산공항,구매,항공기사용사업
4,(주)한국조종사교육원,HL2030,PA44-180,44-7995-257,81.03.21,38,09.07.23,4,1.72ton,울산공항,구매,항공기사용사업
5,(주)한국조종사교육원,HL1149,C-172S,172S9390,03.01.14,16,11.11.01,4,1156.6kg,울산공항,구매,항공기사용사업
6,(주)한국조종사교육원,HL1150,C-172S,172S8580,00.07.07,18,11.12.05,4,1156.6kg,울산공항,구매,항공기사용사업
7,(주)한국조종사교육원,HL1151,C-172S,172S9514,03.08.06,15,11.12.05,4,1156.6kg,울산공항,구매,항공기사용사업
8,(주)한국조종사교육원,HL1162,C-172S,172S9705,04.10.18,14,12.09.24,4,1156.6kg,양양공항,구매,항공기사용사업
9,(주)한국조종사교육원,HL1164,C-172S,172S9806,05.01.31,14,12.12.21,4,2550lbs,양양공항,구매,항공기사용사업
10,(주)한국조종사교육원,HL1165,C-172S,172S9452,03.06.09,16,12.12.21,4,1156.6kg,양양공항,구매,항공기사용사업
11,(주)한국조종사교육원,HL1262,C-172S,172S9689,04.06.08,15,16.10.24,4,2550lbs,강원도 양양,구매,항공기사용사업
1,LG전자,HL9604,S-76D,761018,13.04.23,6,14.10.16,8,5386kg,김포공항,구매,자가용
2,LG전자,HL8299,GVI,6212,16.06.11,3,16.12.13,12,46.992ton,김포공항,구매,자가용
3,LG전자,HL9640,S-76D,761074,15.03.18,4,18.08.14,8,5386kg,김포공항,구매,자가용
1,SK텔레콤,HL8200,GV-SP,5233,09.02.24,10,09.09.17,16,41.277ton,김포공항,구매,자가용
2,SK텔레콤,HL9600,S-76D,761017,14.07.03,4,14.08.14,8,5.386ton,김포공항,구매,자가용
3,SK텔레콤,HL8080,A319-115,5768,13.10.18,5,15.04.09,17,11875lbs,김포공항,구매,자가용
1,강원도,HL9476,AW139,31154,09.03.04,10,09.05.26,14,6.4ton,강원도 양양,구매,자가용
2,강원도,HL9626,AW139,41527,17.02.10,2,17.04.26,15,6800kg,춘천시 신북읍,구매,자가용
1,경기도,HL9455,AS-365N3,6606,01.09.18,17,07.11.15,14,4.3ton,경기도 용인시,구매,자가용
2,경기도,HL9456,KA-32T,96-18,01.02.14,18,07.11.15,18,11ton,경기도 용인시,구매,자가용
3,경기도,HL9485,AW139,31254,10.08.06,8,10.11.02,17,6.4ton,경기도 용인시,구매,자가용
1,경상남도,HL9464,AS-365N3,6730,06.12.14,12,07.12.05,14,4.3ton,경남합천군용주면용지리,구매,자가용
1,경상북도,HL9462,KA-32T,9204,95.06.27,23,07.11.15,18,11ton,대구K-2 공군기지내,구매,자가용
