시도_시도,연도_연도,교육대학_계,교육대학_여,교육대학_남,전체_계,전체_여,전체_남
강원,1999,1842,1253,589,122778,38569,84209
강원,2000,1854,1277,577,129851,41705,88146
강원,2001,1976,1385,591,136962,43830,93132
강원,2002,2094,1539,555,139431,45240,94191
강원,2003,2111,1574,537,139141,44926,94215
강원,2004,2185,1613,572,137650,44106,93544
강원,2005,2303,1702,601,136516,43764,92752
강원,2006,2276,1679,597,134744,43471,91273
강원,2007,2248,1633,615,135737,44281,91456
강원,2008,2149,1564,585,136295,44589,91706
강원,2009,2068,1497,571,134772,44905,89867
강원,2010,1946,1411,535,139319,47029,92290
강원,2011,1791,1264,527,143993,48639,95354
강원,2012,1675,1147,528,146409,49562,96847
강원,2013,1580,1038,542,147456,50242,97214
강원,2014,1493,966,527,147289,50290,96999
강원,2015,1444,963,481,144153,49365,94788
강원,2016,1425,998,427,140789,48528,92261
강원,2017,1428,1043,385,137190,47552,89638
강원,2018,1414,1031,383,133019,46946,86073
경기,1999,0,0,0,404354,139519,264835
경기,2000,0,0,0,436299,152936,283363
경기,2001,0,0,0,460878,162999,297879
경기,2002,0,0,0,476071,168637,307434
경기,2003,0,0,0,487012,172518,314494
경기,2004,0,0,0,494568,177527,317041
경기,2005,490,321,169,512340,181739,330601
경기,2006,977,613,364,520879,186688,334191
경기,2007,1421,895,526,531896,193458,338438
경기,2008,1841,1171,670,552711,204824,347887
경기,2009,1822,1198,624,541675,201151,340524
경기,2010,1738,1198,540,538847,206360,332487
경기,2011,1257,886,371,548301,212646,335655
경기,2012,1556,1115,441,537554,211415,326139
경기,2013,1800,1284,516,538587,213685,324902
경기,2014,2068,1483,585,522158,208424,313734
경기,2015,1362,991,371,511327,206114,305213
경기,2016,1360,991,369,501784,203766,298018
경기,2017,1358,955,403,492481,201019,291462
경기,2018,1386,1027,359,484943,200037,284906
경남,1999,1850,1226,624,140921,46421,94500
경남,2000,1919,1281,638,153359,51010,102349
경남,2001,2026,1377,649,161128,53677,107451
