rank,name,scores_overall,location,stats_number_students,female,male,female_num,male_num
1,University of Oxford,96.0,United Kingdom,20298,46,54,9337,10961
2,University of Cambridge,94.8,United Kingdom,18749,46,54,8625,10124
3,Stanford University,94.7,United States,15878,43,57,6828,9050
4,Massachusetts Institute of Technology,94.2,United States,11231,38,62,4268,6963
5,California Institute of Technology,94.1,United States,2255,33,67,744,1511
6,Harvard University,93.6,United States,20595,48,52,9886,10709
7,Princeton University,92.3,United States,7996,45,55,3598,4398
8,Yale University,91.3,United States,12318,50,50,6159,6159
9,Imperial College London,90.3,United Kingdom,16425,38,62,6242,10184
10,University of Chicago,90.2,United States,13562,44,56,5967,7595
11,ETH Zurich,89.3,Switzerland,18171,31,69,5633,12538
12,Johns Hopkins University,89.0,United States,16146,52,48,8396,7750
13,University of Pennsylvania,89.0,United States,20443,52,48,10630,9813
14,UCL,87.8,United Kingdom,31696,57,43,18067,13629
15,"University of California, Berkeley",87.7,United States,36468,51,49,18599,17869
16,Columbia University,87.2,United States,26586,0,0,0,0
17,"University of California, Los Angeles",86.4,United States,39464,53,47,20916,18548
18,Duke University,85.4,United States,15037,48,52,7218,7819
19,Cornell University,85.1,United States,21904,49,51,10733,11171
20,University of Michigan-Ann Arbor,84.1,United States,41831,48,52,20079,21752
21,University of Toronto,84.0,Canada,72202,0,0,0,0
22,Tsinghua University,82.9,China,36912,34,66,12550,24362
23,National University of Singapore,82.4,Singapore,30727,50,50,15364,15364
24,Carnegie Mellon University,82.0,United States,13033,40,60,5213,7820
25,Northwestern University,81.7,United States,17600,48,52,8448,9152
26,London School of Economics and Political Science,81.3,United Kingdom,10028,52,48,5215,4813
27,New York University,81.0,United States,44433,56,44,24882,19551
28,University of Washington,80.4,United States,45476,53,47,24102,21374
29,University of Edinburgh,79.8,United Kingdom,28153,60,40,16892,11261
30,"University of California, San Diego",79.7,United States,31687,46,54,14576,17111
31,Peking University,79.3,China,42547,48,52,20423,22124
32,LMU Munich,78.3,Germany,35389,61,39,21587,13802
33,University of Melbourne,78.3,Australia,45030,56,44,25217,19813
34,Georgia Institute of Technology,77.5,United States,21903,32,68,7009,14894
35,École Polytechnique Fédérale de Lausanne,76.9,Switzerland,10343,28,72,2896,7447
36,University of Hong Kong,76.3,Hong Kong,18122,54,46,9786,8336
37,University of British Columbia,76.0,Canada,53566,54,46,28926,24640
38,King’s College London,75.8,United Kingdom,24293,62,38,15062,9231
39,University of Texas at Austin,75.4,United States,48561,51,49,24766,23795
40,Karolinska Institute,74.9,Sweden,7898,68,32,5371,2527
41,The Hong Kong University of Science and Technology,74.5,Hong Kong,10394,0,0,0,0
42,Paris Sciences et Lettres – PSL Research University Paris,74.4,France,20722,44,56,9118,11604
43,The University of Tokyo,74.1,Japan,25828,0,0,0,0
44,University of Wisconsin-Madison,73.9,United States,39193,0,0,0,0
45,McGill University,73.7,Canada,31060,58,42,18015,13045
46,Technical University of Munich,73.7,Germany,39726,34,66,13507,26219
47,Heidelberg University,73.2,Germany,20953,54,46,11315,9638
48,KU Leuven,72.6,Belgium,44719,49,51,21912,22807
49,Australian National University,72.4,Australia,16840,52,48,8757,8083
50,University of Illinois at Urbana-Champaign,72.3,United States,43908,47,53,20637,23271
51,"Nanyang Technological University, Singapore",72.2,Singapore,25738,48,52,12354,13384
52,"University of California, Santa Barbara",71.5,United States,23457,52,48,12198,11259
53,Brown University,71.4,United States,9082,0,0,0,0
54,Chinese University of Hong Kong,71.4,Hong Kong,17883,0,0,0,0
55,Washington University in St Louis,70.9,United States,13074,0,0,0,0
56,University of North Carolina at Chapel Hill,70.0,United States,34226,57,43,19509,14717
57,University of Manchester,69.9,United Kingdom,36530,53,47,19361,17169
58,Delft University of Technology,69.2,Netherlands,17880,28,72,5006,12874
59,"University of California, Davis",68.5,United States,37847,57,43,21573,16274
60,University of Sydney,68.5,Australia,43333,58,42,25133,18200
61,Wageningen University & Research,68.5,Netherlands,13214,55,45,7268,5946
62,University of Amsterdam,67.9,Netherlands,23778,56,44,13316,10462
63,Seoul National University,67.5,South Korea,26066,0,0,0,0
64,Purdue University West Lafayette,67.4,United States,39409,42,58,16552,22857
65,Kyoto University,67.3,Japan,22420,24,76,5381,17039
66,University of Southern California,67.0,United States,35510,53,47,18820,16690
67,Humboldt University of Berlin,66.9,Germany,33000,0,0,0,0
68,Leiden University,66.3,Netherlands,26321,57,43,15003,11318
69,University of Queensland,66.0,Australia,38187,55,45,21003,17184
70,Erasmus University Rotterdam,65.8,Netherlands,22019,50,50,11010,11010
71,University of Minnesota Twin Cities,65.3,United States,60620,52,48,31522,29098
72,Ohio State University,65.3,United States,53540,49,51,26235,27305
73,Sorbonne University,65.1,France,42681,59,41,25182,17499
74,Boston University,65.0,United States,25095,60,40,15057,10038
75,Utrecht University,65.0,Netherlands,31551,59,41,18615,12936
76,University of Freiburg,64.7,Germany,22005,55,45,12103,9902
77,McMaster University,64.4,Canada,24602,53,47,13039,11563
78,University of Bristol,64.3,United Kingdom,20570,53,47,10902,9668
79,University of Groningen,64.1,Netherlands,26183,52,48,13615,12568
80,University of Warwick,64.1,United Kingdom,19649,50,50,9824,9824
81,Pennsylvania State University,63.8,United States,45704,46,54,21024,24680
82,"University of Maryland, College Park",63.7,United States,32099,47,53,15087,17012
83,Sungkyunkwan University (SKKU),63.7,South Korea,23359,42,58,9811,13548
84,Emory University,63.6,United States,12647,58,42,7335,5312
85,Monash University,63.6,Australia,49728,57,43,28345,21383
86,Rice University,63.5,United States,6554,42,58,2753,3801
87,RWTH Aachen University,63.3,Germany,44517,32,68,14245,30272
88,Uppsala University,63.3,Sweden,25061,56,44,14034,11027
89,University of Tübingen,63.2,Germany,28743,58,42,16671,12072
90,Charité - Universitätsmedizin Berlin,63.0,Germany,6943,64,36,4444,2499
91,University of Montreal,63.0,Canada,37311,59,41,22013,15298
92,University of Zurich,63.0,Switzerland,26340,57,43,15014,11326
93,University of Science and Technology of China,62.9,China,16152,0,0,0,0
94,University of Glasgow,62.8,United Kingdom,24235,58,42,14056,10179
95,Michigan State University,62.8,United States,44951,51,49,22925,22026
96,"University of California, Irvine",62.7,United States,31089,53,47,16477,14612
97,UNSW Sydney,62.7,Australia,41358,47,53,19438,21920
98,Lund University,62.5,Sweden,28454,54,46,15365,13089
99,Dartmouth College,62.4,United States,6172,48,52,2963,3209
100,University of Helsinki,62.4,Finland,22418,65,35,14572,7846
101,Zhejiang University,62.2,China,36031,21,79,7567,28464
