종목명,국가,시장구분,산업분류,2019-07-01,2019-07-02,2019-07-03,2019-07-04,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-15,2019-07-16,2019-07-17,2019-07-18,2019-07-19,2019-07-22
경인양행,일본,코스피,화학,0,-4.48,1.49,7.46,6.57,8.06,-0.15,1.34,-0.9,1.19,7.61,12.39,9.4,7.61,6.12,5.97
경인전자,일본,코스피,전기전자,0,9.02,9.22,11.07,6.76,3.48,2.66,5.74,6.56,9.43,5.53,6.56,7.99,4.92,5.74,3.89
국도화학,일본,코스피,화학,0,3.25,3.47,3.9,6.93,3.9,3.25,3.58,3.36,2.93,1.41,2.38,1.19,0.33,1.52,2.6
금호에이치티,일본,코스피,운수장비,0,-2.92,-2.37,-1.82,-2.01,-5.11,-7.12,-6.02,-7.12,-4.56,-5.47,-6.57,-9.12,-7.48,-6.02,-8.03
기신정기,일본,코스피,기계,0,1.34,-3.35,-3.57,-2.34,-4.8,-4.91,-3.12,-3.12,-1.12,-2.46,-4.91,-8.71,-9.04,-7.81,-8.93
네패스,일본,코스닥,IT H/W,0,-2.97,-8.59,1.72,3.59,-4.53,-4.69,-1.88,-1.25,5.62,-1.72,-0.16,-1.41,-1.41,-0.47,-2.5
대동전자,일본,코스피,전기전자,0,-2.12,-2.93,-6.27,-2.93,-3.03,-2.73,-1.52,0.71,2.73,10.41,7.38,7.79,4.35,6.57,0.51
동방아그로,일본,코스피,화학,0,-0.68,-0.96,-1.09,-0.55,-3.15,-4.1,-3.01,-1.78,-1.5,-2.87,-3.15,-3.69,-3.56,-3.69,-3.83
동원F&B,일본,코스피,음식료품,0,1.08,2.53,1.81,4.51,1.62,2.35,4.15,2.53,5.23,2.53,4.15,4.15,3.43,5.05,3.97
디알젬,일본,코스닥,의료·정밀기기,0,0.5,-1.38,-3.63,-0.13,-6.26,-7.51,-3.5,-3.63,-3.25,-3.13,-6.51,-9.26,-10.14,-9.14,-7.76
