date,category,gallup,realmeter,gap
2019-01-10,모름무응답,9,5,-4
2019-01-10,잘못한다,44,45,1
2019-01-10,잘한다,48,50,2
2019-01-15,모름무응답,10,5,-5
2019-01-15,잘못한다,44,47,3
2019-01-15,잘한다,46,48,2
2019-01-16,모름무응답,11,5,-6
2019-01-16,잘못한다,43,45,2
2019-01-16,잘한다,47,50,3
2019-01-17,모름무응답,10,5,-5
2019-01-17,잘못한다,44,43,-1
2019-01-17,잘한다,47,52,5
2019-01-22,모름무응답,10,7,-3
2019-01-22,잘못한다,44,45,1
2019-01-22,잘한다,47,47,0
2019-01-23,모름무응답,9,8,-1
2019-01-23,잘못한다,45,44,-1
2019-01-23,잘한다,46,48,2
2019-01-24,모름무응답,9,6,-3
2019-01-24,잘못한다,45,46,1
2019-01-24,잘한다,46,48,2
2019-01-29,모름무응답,9,5,-4
2019-01-29,잘못한다,46,45,-1
2019-01-29,잘한다,45,50,5
2019-01-30,모름무응답,9,5,-4
2019-01-30,잘못한다,43,48,5
2019-01-30,잘한다,48,47,-1
2019-01-31,모름무응답,8,7,-1
2019-01-31,잘못한다,44,46,2
2019-01-31,잘한다,47,47,0
2019-02-14,모름무응답,10,6,-4
2019-02-14,잘못한다,44,44,0
2019-02-14,잘한다,47,50,3
2019-02-19,모름무응답,9,6,-3
2019-02-19,잘못한다,43,45,2
2019-02-19,잘한다,47,49,2
2019-02-20,모름무응답,10,6,-4
2019-02-20,잘못한다,45,43,-2
2019-02-20,잘한다,45,52,7
2019-02-21,모름무응답,10,5,-5
2019-02-21,잘못한다,45,42,-3
2019-02-21,잘한다,45,54,9
2019-02-26,모름무응답,9,6,-3
2019-02-26,잘못한다,44,45,1
2019-02-26,잘한다,47,49,2
2019-02-27,모름무응답,10,7,-3
2019-02-27,잘못한다,42,44,2
2019-02-27,잘한다,49,50,1
2019-02-28,모름무응답,9,6,-3
2019-02-28,잘못한다,42,43,1
2019-02-28,잘한다,49,50,1
2019-03-05,모름무응답,10,6,-4
2019-03-05,잘못한다,43,46,3
2019-03-05,잘한다,47,48,1
2019-03-06,모름무응답,10,8,-2
2019-03-06,잘못한다,44,46,2
2019-03-06,잘한다,47,46,-1
2019-03-07,모름무응답,10,7,-3
2019-03-07,잘못한다,45,48,3
2019-03-07,잘한다,46,44,-2
2019-03-12,모름무응답,9,5,-4
2019-03-12,잘못한다,43,50,7
2019-03-12,잘한다,47,45,-2
2019-03-13,모름무응답,10,4,-6
